company,SUPPORT,NEI,CONTRADICT
Canon Electron Tube Device Corporation,,1.0,
Capital Power,,3.0,
Carbon Free Power Project (CFPP),,1.0,
Carr's Group,,1.0,
Case Western Reserve University,,1.0,
Cavendish,,1.0,
Cavendish Consulting,1.0,,1.0
Cavendish Nuclear,2.0,14.0,2.0
Ceca,,1.0,
Cenovus,,3.0,
Central Design & Technological Institute (JSC CPTI),,2.0,1.0
Central Design Bureau Iceberg,,1.0,
Central Enterprise for the Management of Radioactive Waste,,2.0,
Central Plateau Clean-up Company (CPC Co),,1.0,
Centralia Coal Transition Board,,1.0,
Centralna Energoremontna Baza EAD,,1.0,
Centrica,,2.0,
Centrum výzkumu Řež (CVŘ),,1.0,
Centrus,3.0,20.0,2.0
Centrus Energy,4.0,18.0,2.0
Century,,1.0,
Cerberus Nuclear,,2.0,
Cernavoda NPP,,1.0,
ChNPP,,2.0,
Chart,,1.0,
Chevron,,2.0,
Chiba Institute of Technology (CIT),,1.0,
Chiltern Vital Group,,3.0,
China,,5.0,
China Customs,,,1.0
China Datang Group,,1.0,
China Development Bank,,1.0,
China First Heavy Machinery Co Ltd,,2.0,
China General Nuclear (CGN),2.0,16.0,
China General Nuclear Power Corporation (CGN),,4.0,
China Guodian Corporation,1.0,3.0,
China Huaneng Group,1.0,7.0,2.0
China National Energy Administration,,1.0,
"China National Nuclear Cooperation's (CNNC), China National Nuclear Power (CNNP)",,1.0,
China National Nuclear Corp (SNNS),1.0,2.0,
China National Nuclear Corporation,3.0,30.0,
China National Nuclear Corporation (CNNC),4.0,61.0,4.0
China National Nuclear Corporation's (CNNC) subsidiary China Nuclear Engineering and Construction Corporation (CNECC),,2.0,
"China National Nuclear Corporation”]}  is not a correct extraction since CNNC does not operate SMRs. Instead, we are looking at a traditional PWR reactor that has been upgraded by its owner/operator, CNNC. Since there is no information about the maturity, deployment, or technicalities of Small Modular Reactors (SMRs), I will provide you with some general information from the text related to the nuclear industry: ",,1.0,
China National Nuclear Power,,8.0,
China National Uranium Corporation Limited,,1.0,
China Nuclear Construction,,1.0,
China Nuclear Energy Industry Corporation (CNEIC),,1.0,
China Nuclear Engineering Corporation,,4.0,
China Nuclear Engineering and Construction Corporation (CNECC),,1.0,
China Nuclear Group (CNG),,1.0,
China Nuclear Industry 22 Construction Company,,7.0,
China Nuclear Industry 23 Construction Company Ltd,,1.0,
China Nuclear Industry 24 Construction Company,,4.0,
China Nuclear Power Engineering Company Ltd,,2.0,
China Nuclear Power Engineering Group,,6.0,
China Power Investment Corporation,1.0,7.0,
China Science Daily,,1.0,
China TechEnergy Company,,1.0,
China Zhongyuan Engineering Corporation,,1.0,
China's State Nuclear Power Technology Corporation (SNPTC),,1.0,
Chinese,1.0,,
Chinese Academy of Sciences (CAS),,1.0,
Chubu Electric Power Co,1.0,2.0,
Chugoku Electric,,1.0,
Cirba Solutions,,1.0,
City of Dalton Utilities,,1.0,
Clark Seed,,1.0,
Clean Core,,5.0,
Climentum Capital,,1.0,
ComEd,,1.0,
Comanche Peak,,1.0,
Comanche Peak Power Company,,1.0,
Combustibles Nucleares Argentinos (Conuar),,1.0,
Combustion Engineering,,3.0,
Cominak,,2.0,
Comisión Federal de Electricidad (CFE),,1.0,
Commonwealth Fusion Systems (CFS),,2.0,
Community Nuclear Power,1.0,1.0,
Compania Nationala a Uraniului (CNU),,1.0,
Compania Națională Nuclearelectrica (SNN),,1.0,
Concern Titan-2 JSC,,3.0,
Conference Board of Canada,,1.0,
Consolidated Nuclear Security,,1.0,
Constellation,,23.0,2.0
Constellation Energy,,3.0,
Constellation Energy Generation,,3.0,
Consulper,,1.0,
Conuar,,1.0,
ConverDyn,,1.0,
Coordinating Ministry for Economic Affairs of the Republic of Indonesia,,1.0,
Copenhagen Atomics,,10.0,3.0
Coral Capital,,1.0,
Corespring Invest,1.0,,
Costain,,3.0,
Createc,,4.0,
Createc Ltd,,1.0,
Creative Energy,,1.0,
Creative Engineers Inc (CEI),,2.0,
Crowley,,2.0,
Crédit Agricole CIB,,1.0,
Crédit Agricole Group,,1.0,
Crédit Suisse,,1.0,
Cumbria Nuclear Solutions,,1.0,
Curio,,3.0,
Curio Solutions,,2.0,
Curium,,5.0,
Curtiss-Wright,,2.0,
Curtiss-Wright Corporation,,1.0,1.0
Curtiss-Wright Flow Control Service (dba Curtiss-Wright Nuclear Division),,1.0,
Cwmni Egino,,7.0,
Cyberwatch,,1.0,
DAE,,1.0,
DARPA,,1.0,1.0
DBD,,1.0,
DBI-Virtuhcon,,1.0,
DBJ Capital Co,,1.0,
DESNZ,,1.0,
DFC,,1.0,
DL E&C,1.0,5.0,1.0
DMT GmbH & Co,,1.0,
DN Tanks,,1.0,
DNV,,1.0,
DOE,2.0,24.0,2.0
DOE Isotope Program,,1.0,
DOE Office of Environmental Management (EM),,1.0,
DOE/NNSA,,1.0,
DOW Chemical,,2.0,
DRS,,1.0,
DS Private Equity (Korea),,1.0,
DSS Sustainable Solutions USA,,1.0,
DTRA,,1.0,
Daewoo,,2.0,
Daewoo Construction,,1.0,
Daewoo E&C,,3.0,
Daewoo Engineering & Construction,,2.0,
Daewoo Shipbuilding & Marine Engineering,,2.0,
Daher Nuclear Technologies GmbH,,1.0,
Dairyland Power,,1.0,
Dairyland Power Cooperative,,1.0,
Dalian Baoyuan Nuclear Equipment,,1.0,
Dalian Dafa Energy Branch,,1.0,
Dalian Municipal Construction Investment Co,,1.0,
Dalton,,1.0,
Dalton Nuclear Institute,,1.0,
Dalton Utilities,1.0,3.0,1.0
Danish start-ups,,1.0,
Danube Asphalt,,1.0,
Dassault Systèmes,,2.0,
Data61,,1.0,
DataTrails,,1.0,
Datang International Power Generation Company,,1.0,
Datastart,,1.0,
David Heath and Martin Clapham,,1.0,
Day and Zimmerman,,1.0,
Dayan Deerkh Energy Ltd,,1.0,
Deep Borehole Demonstration Center,,1.0,
Deep Isolation,1.0,15.0,1.0
Deep Isolation EMEA Ltd,,,1.0
DeepGeo,,3.0,
DeepTech & Climate Fonds,,1.0,
Degussa AG,,1.0,
Dell,,1.0,
Demcon,,1.0,
"Department for Business, Energy and Industrial Strategy (BEIS)",1.0,,
Department for Energy & Net Zero,,1.0,
Department of Atomic Energy (DAE),,2.0,
Department of Energy,,5.0,
Department of Energy’s Advanced Research Program Agency-Energy (ARPA-E),,1.0,
Des Nëdhé Group,,1.0,
Des Nëdhé Indigenous Economic Reconciliation Group,,1.0,
"Desktop Metal, Inc",,2.0,
Det Norske Veritas,,1.0,
Diamondback,,1.0,
Diamondback Energy,1.0,,
Differ,,1.0,
Digital Catapult,,1.0,
Dirat Light,,1.0,
Direct One,,1.0,
Direct Rail Services,,2.0,
Dominion,,1.0,
Dominion Energy,,6.0,
Donalam SRL,,1.0,
Dongfang Electric Corporation,,4.0,
Dongguk Nuclear Solution,,1.0,
Doosan,1.0,5.0,
Doosan Co,,1.0,
Doosan Enerbility,3.0,41.0,2.0
Doosan Energy,,2.0,
Doosan Heavy Industries & Construction,1.0,1.0,
Doosan Škoda Power,,1.0,
Dounreay Sites Restoration Ltd,,2.0,
Dow,10.0,22.0,1.0
Dow Inc,,1.0,
Dragonball,,1.0,
Drax,,1.0,
Drone Delivery Canada Corp (DDC),,1.0,
Dual Fluid,,4.0,2.0
Dual Fluid Energy,,1.0,1.0
Duke Energy,,15.0,1.0
Duke Energy Carolinas,,1.0,
Duke Energy Progress,,1.0,
Dutch Authority for Nuclear Safety and Radiation Protection,,2.0,
E,,1.0,
E-INFRA,,3.0,
E-Infra group,,1.0,
E.ON,,8.0,
E.S. Fox,,1.0,
EA,,1.0,
EBRD,,9.0,
EC,,2.0,
EDF,35.0,265.0,29.0
EDF EPR Engineering,,1.0,
"EDF Energy (operator of Hinkley Point C, but not mentioned as operator of Sizewell C), UK Government",,1.0,
EDF Energy Holdings Ltd,,1.0,
EDF Energy Nuclear Generation Limited (NGL),,2.0,
EDF Generation,,3.0,
EDF Group,,4.0,1.0
EDF R&D,,3.0,
EDF SZC Co,,1.0,
EDF Trading,,,1.0
EDU II,,1.0,
EGIS Industries,,1.0,
EHT,,1.0,
EIB,,1.0,
EIC,,1.0,
EIG,,1.0,
ELEA,,1.0,
ELIA AD,,1.0,
EM,,1.0,
ENBPar,,4.0,
ENE,,1.0,
ENEA,2.0,12.0,
ENEA Group,1.0,1.0,
ENRRA,,1.0,
EOS,,1.0,
EP Slovakia BV,,2.0,
EPG,,1.0,
EPH,,1.0,
EPK,,1.0,
EPR,2.0,3.0,1.0
EPR-2 (no company name),1.0,,
EPR2,,1.0,
EPRI,,4.0,1.0
EPSRC,,1.0,
EPZ,,2.0,
ERA,,1.0,
ERA-supported PMU,,1.0,
ES Fox,3.0,2.0,
ES Fox Limited,,1.0,
ES Group Europe,,1.0,
ESAB,,1.0,
EU,,1.0,
EUROCHEMIC,,1.0,
EWEC,,1.0,
EXIM,,1.0,
EXIM Bank Romania,,1.0,
EZK,,1.0,
Eadon,,1.0,
Earth Venture Capital,,1.0,
Eco-Optima,,3.0,
Ed. Züblin AG,,1.0,
Eddy Lea Energy Alliance,,1.0,
Edison,1.0,6.0,
Edvance UK,1.0,2.0,
Efinor,,2.0,
Egis,,3.0,
Egypt's Nuclear Power Plants Authority (NPPA),1.0,1.0,
Eiffage,1.0,,
Electrabel,,7.0,
Electric Power Development Co (J-Power),,1.0,
Electric Power Research Institute,,6.0,
Electricité de France,,8.0,2.0
Electrogrup,,1.0,
Electrosevkavmontazh Corporation (ESKM),,1.0,
Elektrárna Dukovany II,1.0,2.0,
Elementl Power,,1.0,
Eletrobras,,5.0,1.0
Eletronuclear,1.0,18.0,
Elia,,1.0,
Elkon MMC,,1.0,
Elysee,,1.0,
Emanuel Macron,,1.0,
Emerson Automation Solutions,,1.0,
Emirates Nuclear Energy Corporation (Enec),1.0,16.0,2.0
Emissions Reduction Alberta,,1.0,
Empresarios Agrupados (EA),,3.0,
EnBW,,7.0,
Enec,4.0,24.0,1.0
Enel,3.0,4.0,
Enel Produzione,,2.0,
Energoatom,2.0,65.0,10.0
Energoflot,,1.0,
Energoholding,,1.0,
Energomontaz-Polnoc Gdynia,,1.0,
Energonuclear SA,,1.0,
Energoproject-Katowice,,1.0,
Energoremont-Galabovo AD,,1.0,
Energospetzmontazh,2.0,7.0,1.0
Energy Communities Alliance (ECA),,1.0,
Energy Exploration,,2.0,
Energy Harbor,,5.0,
Energy Northwest,1.0,13.0,2.0
Energy Research Accelerator,,1.0,
Energy Safety Group Ltd,,1.0,
Energy Solutions Canada,,1.0,
EnergySolutions,,4.0,
Enfission,,1.0,
Engie,2.0,17.0,1.0
Engie-Electrabel,,7.0,
Engineering & Physical Sciences Research Council,1.0,,
Engineering Division Atomenergomash,,1.0,
Eni,,1.0,
Enresa,,9.0,
Ensa,,1.0,
Ensreg,,1.0,
Entergy,,13.0,1.0
Entergy Corporation,,3.0,
Entra1,,3.0,
Enusa,,11.0,3.0
Enusa Industrias Avanzadas,,1.0,
Environment Agency,1.0,3.0,
Environmental Working Group,,1.0,
Envision AESC,,1.0,
Equipos Nucleares SA (ENSA),,1.0,
Equitix,,1.0,
Erbud Group,,1.0,
Eren Groupe,,1.0,
Erzhong Group (Deyang) Heavy Equipment Company,,1.0,
Esente Healthcare,,1.0,
Eskom,,14.0,1.0
EthosEnergy,,2.0,
Euratom,,3.0,
European Bank for Reconstruction and Development,,6.0,
European Commission,,2.0,
European Institute for Energy and Transport (JRC-IET),,1.0,
European Investment Bank (EIB),1.0,7.0,
European Union,,1.0,
European companies,,1.0,
Evercore Energy,,1.0,
"Evigia Systems, Inc.",,1.0,
Evonik AG,,1.0,
Exelon,,4.0,
Exelon Generation,1.0,5.0,
Expedition Engineering,,4.0,
Export Development Canada,,1.0,
Export-Import Bank of Korea (Kexim),,1.0,
ExxonMobil,,1.0,
F4E,,1.0,
FAB,,1.0,
FANC,,5.0,
FANR,,3.0,
FCC,,1.0,
FDS,,1.0,
FEPC,,1.0,
FKA,,1.0,
FNME-CGT,,1.0,
FONGIT,,1.0,
FPCU Feldioara,,1.0,
FPoliSolutions,,1.0,
FSUE NO RAO,,1.0,
FSUE Radon,,1.0,
FSUE SIA LUCH,,1.0,
Famak,,1.0,
Famur Famak,,1.0,
Farvatn,,1.0,
Federal Agency for Nuclear Control,,1.0,
Federal Authority for Nuclear Regulation (FANR),,,1.0
Federal Environmental Operator,,1.0,
Federal Network Agency,,,1.0
Fengyuan Thermal Power,,2.0,
Fennovoima,,3.0,1.0
Fensma,,1.0,
Fermi Energia,7.0,19.0,2.0
Ferreira Guedes,,1.0,
Fincantieri,3.0,1.0,2.0
Finnish Energy,,1.0,
First Abu Dhabi Bank,,1.0,
First Light Co. Ltd,,1.0,
First Light Fusion,,11.0,
First Mats,,1.0,
First Nations Power Authority (FNPA),,1.0,
Fitch Ratings,,1.0,
Flibe,,1.0,
Flowserve,,2.0,
Fluid Controls and Components,,2.0,
Fluor,,7.0,1.0
Fluor Corporation,1.0,9.0,1.0
"Fluor–BWXT Portsmouth, LLC",,1.0,
Focused Energy,,1.0,
Ford,,1.0,
Forth,,5.0,
Forth Engineering,,1.0,
Fortis,,1.0,
Fortum,11.0,33.0,3.0
Fortum Power & Heat Oy,,1.0,1.0
Fortum Uniper Nuclear Services (FUNS),,1.0,
Foster + Partners,,1.0,
Fostering ALfred CONstruction (FALCON),,1.0,
Framatome,6.0,141.0,7.0
Framatome GmbH,,1.0,
Framatome SAS - Siemens AG,,2.0,
Framatome US Government Solutions,,1.0,
Framatome-Siemens consortium,,1.0,
France,,6.0,
France's Orano,1.0,,
France-China Chamber of Commerce and Industry,,1.0,
France’s EDF,,1.0,
France’s Framatome,,1.0,
Frazer Nash,,1.0,
Frazer-Nash Consultancy Ltd,,2.0,
French,,1.0,1.0
French Alternative Energies and Atomic Energy Commission,1.0,2.0,
French Nuclear Safety Authority,,1.0,
French company,,3.0,
Fucina Italia,2.0,,
Fuego Red,,1.0,
Fuel Cell Energy,,1.0,
FuelCell Energy,,2.0,1.0
Full Matrix Ltd,,1.0,
Full-Life Technologies,,1.0,
Full-Life Technology Europe,,1.0,
Furukawa Electric Co,,1.0,
Fusion for Energy,,4.0,
GA,,1.0,
GA Electromagnetic Systems,,1.0,
GA-EMS,,1.0,
GAP,,1.0,
GBN,,8.0,
GE,,21.0,5.0
GE Hitachi with GNF,,1.0,
GE Hungary Kft,,2.0,
GE Oil & Gas Marine & Industrial UK Ltd,,1.0,
GE Research,,2.0,
GE Steam Power,,6.0,
GE Vernova,1.0,6.0,
GE Vernova's Nuclear business,,1.0,
GE Vernova’s Global Nuclear Fuel (GNF),,1.0,
GE-H,,,1.0
GE-Hitachi,25.0,117.0,13.0
GE-Hitachi Nuclear Energy,23.0,48.0,5.0
GE-Hitachi Nuclear Energy International,,6.0,
GE-led joint venture Global Nuclear Fuel-Americas (GNF-A),,,1.0
GEAST UK Ltd,,1.0,
GEN energija,,4.0,
GERB Vibration Control Systems,1.0,1.0,
GFP,,1.0,
GIC,,1.0,
GK Neolant,,1.0,
GLE,1.0,3.0,
GMB,,1.0,
GMET,,1.0,
GNF,,2.0,
GNF-A,,1.0,
GNS,,3.0,
GNS Gesellschaft für Nuklear-Service mbH,,4.0,
GS E&C,,2.0,
GS Energy,,4.0,1.0
GS Energy Corporation,,1.0,1.0
GS Engineering & Construction (GS E&C),,1.0,
GSE Solutions,1.0,2.0,
GSPI: ,,4.0,
GScan,,1.0,
Gazprombank,,2.0,
Geely Technology Group,,2.0,
Gencoa Ltd,,1.0,
General Atomics,,25.0,2.0
General Electric,1.0,9.0,3.0
General Electric Company,,2.0,
General Electric Global Research,,3.0,
General Electric Hitachi,,1.0,
General Electric Holding (GEH),,1.0,
General Electric Steam Power,,,1.0
General Fusion,,11.0,
Generalnej Dyrekcji Ochrony Srodowiska,,1.0,
Geological Disposal Facility,,1.0,
Geological Repositories for Norway (GeoReN),,1.0,
Geological Survey of Finland,,1.0,
Georgia Power,3.0,24.0,4.0
Geosonda,,1.0,
German company,,1.0,
Gesellschaft für Anlagen- und Reaktorsicherheit gGmbH (GRS),,1.0,
Getka,,1.0,
Ghana Atomic Energy Commission,,8.0,
Ghana News Agency,,1.0,
Gidropress,1.0,4.0,
Gilmartin Engineering Works,,1.0,
Giredmet JSC,,1.0,
Gleeds,,1.0,
Global 2000,,1.0,
Global First Power,,2.0,
Global Laser Enrichment,,6.0,
Global Morpho Pharma,,2.0,
Global Nuclear Fuel,,1.0,
