company,SUPPORT,NEI,CONTRADICT
CITON,,1.0,
CNCC,1.0,,
CNEA,1.0,5.0,
CNFC3G,,1.0,
CNNP,,1.0,
CNP,,1.0,
CNPE,,1.0,
CNSC,1.0,2.0,
CORE POWER,,4.0,
CRA,,1.0,1.0
CV-Rez,,2.0,
CVG,,3.0,
Cambridge Vacuum Engineering,,1.0,
Cameco,,14.0,
Cameco Corporation,,1.0,
Canada Infrastructure Bank,,3.0,
Canada's Cameco,1.0,,
Canadian General Electric,,1.0,
Canadian National Energy Alliance (CNEA),,1.0,
Canadian Nuclear Association,,1.0,1.0
Canadian Nuclear Laboratories,,5.0,
Canadian Nuclear Laboratories (CNL),,7.0,
Canadian Nuclear Partners,,1.0,
Canadian Nuclear Safety Commission (CNSC),,5.0,
Capital Power,,3.0,
Carbon Free Power Project (CFPP),,1.0,
Cavendish Consulting,1.0,,1.0
Cavendish Nuclear,1.0,12.0,1.0
Ceca,,1.0,
Cenovus,,3.0,
Centrica,,2.0,
Centrus,1.0,3.0,
Centrus Energy,2.0,3.0,2.0
Century,,1.0,
Chart,,1.0,
Chiltern Vital Group,,3.0,
China,,4.0,
China First Heavy Machinery Co Ltd,,1.0,
China General Nuclear (CGN),,1.0,
China Huaneng Group,1.0,4.0,2.0
China National Nuclear Corp (SNNS),,1.0,
China National Nuclear Corporation,1.0,14.0,
China National Nuclear Corporation (CNNC),1.0,18.0,2.0
China National Nuclear Corporation's subsidiary China Nuclear Engineering Corporation,,1.0,
China National Nuclear Power,,6.0,
China Nuclear Engineering Corporation,,1.0,
China Nuclear Power Engineering Group,,2.0,
Chubu Electric Power Co,1.0,,
Clark Seed,,1.0,
Clean Core,,1.0,
Climentum Capital,,1.0,
Combustibles Nucleares Argentinos (Conuar),,1.0,
Combustion engineering,,1.0,
Community Nuclear Power,1.0,1.0,
Compania Nationala a Uraniului (CNU),,1.0,
Compania Națională Nuclearelectrica (SNN),,1.0,
Conference Board of Canada,,1.0,
Constellation,,2.0,
Constellation Energy,,1.0,
Constellation Energy Generation,,2.0,
ConverDyn,,1.0,
Coordinating Ministry for Economic Affairs of the Republic of Indonesia,,1.0,
Copenhagen Atomics,,10.0,3.0
Corespring Invest,1.0,,
Costain,,3.0,
Crédit Suisse,,1.0,
Curio,,1.0,
Curio Solutions,,1.0,
Curtiss-Wright,,1.0,
Curtiss-Wright Corporation,,1.0,1.0
Cwmni Egino,,7.0,
DAE,,1.0,
DFC,,1.0,
DL E&C,1.0,5.0,1.0
DNV,,1.0,
DOE,1.0,6.0,1.0
DOW Chemical,,1.0,
DS Private Equity (Korea),,1.0,
Daewoo,,1.0,
Daewoo Construction,,1.0,
Daewoo E&C,,1.0,
Daewoo Engineering & Construction,,2.0,
Dairyland Power,,1.0,
Dairyland Power Cooperative,,1.0,
Dalian Baoyuan Nuclear Equipment,,1.0,
Danish start-ups,,1.0,
David Heath and Martin Clapham,,1.0,
Day and Zimmerman,,1.0,
Dayan Deerkh Energy Ltd,,1.0,
Deep Borehole Demonstration Center,,1.0,
Deep Isolation,,2.0,
DeepGeo,,1.0,
Degussa AG,,1.0,
"Department for Business, Energy and Industrial Strategy (BEIS)",1.0,,
Department of Energy,,3.0,
Department of Energy’s Advanced Research Program Agency-Energy (ARPA-E),,1.0,
Des Nëdhé Group,,1.0,
Des Nëdhé Indigenous Economic Reconciliation Group,,1.0,
"Desktop Metal, Inc",,2.0,
Diamondback,,1.0,
Diamondback Energy,1.0,,
Differ,,1.0,
Direct One,,1.0,
Dominion Energy,,2.0,
Donalam SRL,,1.0,
Dongfang Electric Corporation,,3.0,
Doosan,1.0,4.0,
Doosan Co,,1.0,
Doosan Enerbility,3.0,26.0,2.0
Doosan Energy,,1.0,
Doosan Heavy Industries & Construction,1.0,1.0,
Dow,10.0,21.0,1.0
Dow Inc,,1.0,
Dual Fluid,,3.0,2.0
Dual Fluid Energy,,1.0,
Duke Energy,,6.0,1.0
E-INFRA,,3.0,
E-Infra group,,1.0,
E.ON,,1.0,
E.S. Fox,,1.0,
EBRD,,1.0,
EDF,16.0,120.0,6.0
"EDF Energy (operator of Hinkley Point C, but not mentioned as operator of Sizewell C), UK Government",,1.0,
EDF Group,,2.0,
EGIS Industries,,1.0,
EIB,,1.0,
ENEA,2.0,10.0,
ENEA Group,1.0,1.0,
EPR,1.0,3.0,
EPR-2 (no company name),1.0,,
EPR2,,1.0,
EPRI,,2.0,1.0
ERA,,1.0,
ES Fox,3.0,2.0,
ES Fox Limited,,1.0,
EU,,1.0,
EXIM,,1.0,
EXIM Bank Romania,,1.0,
Earth Venture Capital,,1.0,
Eco-Optima,,3.0,
Edison,1.0,6.0,
Edvance UK,,1.0,
Efinor,,1.0,
Egis,,2.0,
Electrabel,,1.0,
Electric Power Research Institute,,5.0,
Electricité de France,,3.0,
Electrogrup,,1.0,
Elektrárna Dukovany II,1.0,1.0,
Eletrobras,,1.0,
Eletronuclear,,1.0,
Elysee,,1.0,
Emanuel Macron,,1.0,
Emirates Nuclear Energy Corporation (Enec),1.0,9.0,1.0
Emissions Reduction Alberta,,1.0,
Enec,3.0,18.0,
Enel,3.0,3.0,
Energoatom,2.0,25.0,
Energoflot,,1.0,
Energomontaz-Polnoc Gdynia,,1.0,
Energy Exploration,,1.0,
Energy Northwest,1.0,10.0,2.0
Enfission,,1.0,
Engie,1.0,6.0,
Engie-Electrabel,,2.0,
Ensreg,,1.0,
Entergy,,8.0,
Entergy Corporation,,3.0,
Entra1,,2.0,1.0
Environment Agency (EA),1.0,,
Envision AESC,,1.0,
Equitix,,1.0,
Eren Groupe,,1.0,
Eskom,,2.0,
Euratom,,1.0,
European Bank for Reconstruction and Development,,2.0,
European Commission,,1.0,
European Investment Bank (EIB),1.0,5.0,
European Union,,1.0,
Evonik AG,,1.0,
Exelon,,3.0,
Exelon Generation,1.0,,
Expedition Engineering,,4.0,
Export Development Canada,,1.0,
Export-Import Bank of Korea (Kexim),,1.0,
ExxonMobil,,1.0,
FAB,,1.0,
FDS,,1.0,
FPCU Feldioara,,1.0,
FPoliSolutions,,1.0,
Famak,,1.0,
Farvatn,,1.0,
Federal Authority for Nuclear Regulation (FANR),,,1.0
Fennovoima,,1.0,
Fermi Energia,7.0,19.0,2.0
Fincantieri,3.0,1.0,2.0
Finnish Energy,,1.0,
First Abu Dhabi Bank,,1.0,
First Nations Power Authority (FNPA),,1.0,
Fitch Ratings,,1.0,
Flibe,,1.0,
Fluor,,2.0,1.0
Fluor Corporation,1.0,8.0,1.0
Ford,,1.0,
Fortum,10.0,15.0,1.0
Foster + Partners,,1.0,
Fostering ALfred CONstruction (FALCON),,1.0,
Framatome,2.0,23.0,4.0
France,,5.0,
France's Orano,1.0,,
French,,1.0,
French Alternative Energies and Atomic Energy Commission,1.0,1.0,
Fucina Italia,2.0,,
Fuel Cell Energy,,1.0,
FuelCell Energy,,2.0,1.0
GA,,1.0,
GA Electromagnetic Systems,,1.0,
GA-EMS,,1.0,
GAP,,1.0,
GBN,,8.0,
GE,,15.0,5.0
GE Steam Power,,2.0,
GE Vernova,,6.0,
GE Vernova's Nuclear business,,1.0,
GE Vernova’s Global Nuclear Fuel (GNF),,1.0,
GE-H,,,1.0
GE-Hitachi,25.0,102.0,14.0
GE-Hitachi Nuclear Energy,22.0,43.0,5.0
GE-Hitachi Nuclear Energy International,,6.0,
GERB Vibration Control Systems,,1.0,
GFP,,1.0,
GLE,1.0,2.0,
GMET,,1.0,
GS E&C,,1.0,
GS Energy,,3.0,1.0
GS Energy Corporation,,1.0,1.0
GS Engineering & Construction (GS E&C),,1.0,
GSE Solutions,1.0,1.0,
General Atomics,,5.0,1.0
General Electric,1.0,4.0,3.0
General Electric Global Research,,2.0,
General Electric Hitachi,,1.0,
General Electric Holding (GEH),,1.0,
General Fusion,,1.0,
Georgia Power,,1.0,
Getka,,1.0,
Ghana Atomic Energy Commission,,2.0,
Gleeds,,1.0,
Global First Power,,1.0,
Global Laser Enrichment,,4.0,
Global Nuclear Fuel,,1.0,
Global Power Synergy Public Company Limited (GPSC),,2.0,
Government of Canada’s Alberta province,1.0,,
Granitor Growth Management,,1.0,
Grant County Public Utility District,,1.0,
Great British Energy,1.0,1.0,
Great British Nuclear,6.0,27.0,2.0
Green Energy Partners,,2.0,
Greenpeace Energy,,1.0,
Gresham House Secure Income Renewable Energy & Storage LP (SIRES),,1.0,
Groupement des Industriels Français de l'Energie Nucléaire (Gifen),,,1.0
Grupa Azoty,,1.0,
Grupa Azoty Police,,1.0,
Grupa Azoty Zakłady Chemiczne Police (GAP),,1.0,
H Line Shipping,,,1.0
HD Hyundai,,6.0,
HD KSOE,,2.0,
HD Korea Shipbuilding & Marine Engineering,,4.0,
HDEC,,1.0,1.0
HEC,,1.0,
HG,,1.0,
HOBEG,,1.0,
Habboush Group,,,1.0
Hainan Nuclear Energy Company,1.0,,
Hainan Nuclear Power Company,,4.0,
Halden Kjernekraft AS,2.0,2.0,
Halla EB Technology,,1.0,
Hanwha E&C,,1.0,
Hatch,1.0,9.0,
Hatch Ltd,,3.0,
Hayward Tyler,,1.0,
Heathrow,,1.0,
Helen,1.0,7.0,1.0
Herbert Engineering Corp (HEC),,1.0,
Hinkley,,,1.0
Hinkley point c,,1.0,
Hitachi,5.0,11.0,3.0
Hitachi Vantara,,,1.0
Hokkaido,,1.0,
Holtec,6.0,92.0,6.0
Holtec Britain,5.0,16.0,1.0
Holtec Britain Limited,,3.0,
Holtec Maintenance & Modification International (HMI),,1.0,
Hoosier Energy,,3.0,
Horizon,,1.0,
Horizon Nuclear Power,,3.0,1.0
Howden,,3.0,
Hualong,,2.0,
Huaneng,,1.0,
Huaneng Company,,1.0,
Hydromine Nuclear Energy,2.0,,
Hyundai E&C,,7.0,
Hyundai Engineering,,4.0,
Hyundai Engineering & Construction,1.0,10.0,
Hyundai Engineering & Construction Co Ltd (Hyundai E&C),,,1.0
Hyundai Heavy Industries,,1.0,
Hyundai Merchant Marine,,,1.0
IAEA,,4.0,
IBNI,,1.0,
IDOM,,3.0,
IEEFA,,,1.0
IHI Corp.,,1.0,
IHI Corporation,1.0,3.0,
IHS Markit,,,1.0
IMI Critical Engineering,,1.0,
INET-CNNC,,1.0,
INVAP,,4.0,
IP3 Corporation,,1.0,
IRSN,,1.0,
ISL,,1.0,
IST,,2.0,
ITER Organisation,,1.0,
ITM,,1.0,
ITM Isotope Technologies Munich,,1.0,
Iceberg Research,,,1.0
Idaho National Laboratory,,6.0,
Idaho National Laboratory (INL),,4.0,
Ignalina Nuclear Power Plant,,1.0,
Imabari Shipbuilding,,1.0,
Indonesia Power,,3.0,
Industria,,8.0,1.0
Industrial Development Agency JSC (IDA),,1.0,
Industrias Metalúrgicas Pescarmona SA (IMPSA),,1.0,
Ingérop,1.0,2.0,
Innovate UK Business Connect,,1.0,
Innovation Fund,,1.0,
Institute of Nuclear and New Energy Technologies of Tsinghua University,,1.0,
International Atomic Energy Agency,,3.0,
International Bank for Nuclear Infrastructure (IBNI),,1.0,
International Container Terminal Services (ICTSCI),,1.0,
Interpath Advisory,,2.0,
Invap SE,,,1.0
Ispe,,1.0,
Italian Space Agency,,1.0,
JAEA,,4.0,1.0
JAVYS,1.0,3.0,
JGC Corp.,,1.0,
JGC Corporation,1.0,5.0,
JGC Holdings,,1.0,
JIMMY,,,1.0
JSC Luch,,1.0,
Jacobs,6.0,7.0,
Jacobs Naarea,,1.0,
Jacobs UK,1.0,1.0,
Jadrová Energetická Spolocnost Slovenska,,1.0,
Janggeum Merchant Marine,,,1.0
Japan,,1.0,
Japan Atomic Energy Agency,,2.0,
Japan Atomic Industrial Forum,,2.0,1.0
Japan Bank for International Cooperation,,1.0,
John Hopkins,,1.0,
Joint Research Centre,,2.0,
K-Sure,1.0,1.0,
KAERI,1.0,5.0,
KEPCO E&C,,7.0,
KERI,,1.0,
KGHM,1.0,9.0,
KGHM Polska Miedz,4.0,12.0,
KIMM,,1.0,
KPMG,,1.0,1.0
KPPN (Courtesy KNPP),,1.0,
KSOE,,2.0,
Kairos,1.0,6.0,
Kansai,,1.0,
Kazatomprom,,3.0,
Kepco,2.0,10.0,1.0
Kepco Engineering & Construction,1.0,3.0,
Kepco Nuclear Fuel,,2.0,
Kernkraftwerk Gösgen-Däniken AG,,1.0,
Kernkraftwerk Leibstadt AG,,1.0,
Kerry,1.0,,
Kexim,1.0,4.0,
Kia,,1.0,
Kind Atom Oy,,2.0,
Kinectrics Inc,1.0,7.0,
Korea Atomic Energy,,,1.0
Korea Atomic Energy Research Institute,,4.0,
Korea Electric Power,,1.0,
Korea Electric Power Company (Kepco),1.0,2.0,
Korea Electric Power Corporation,1.0,3.0,
Korea Gas Corp (KOGAS),,1.0,
Korea Hydro & Nuclear Power,6.0,21.0,1.0
Korea National Oil Corp (KNOC),,1.0,
Korea hydro and Nuclear Power (KHNP),2.0,20.0,2.0
Kostrzyn-Słubicka Special Economic Zone SA (KSSSE),,2.0,
Koya Capital,,1.0,
Kumho E&C,,1.0,
Kuopio Energy,,3.0,
Kyushu,,1.0,
Kärnfull Future AB,,1.0,
Kärnfull Next,1.0,11.0,
LDR,,1.0,
LDR-50,,1.0,
LEP,,2.0,
LFR,1.0,,
LIS,,1.0,
LISCR,,2.0,
LSEZ,,1.0,
Labour,,1.0,
Laing O'Rourke,5.0,1.0,
Last Energy,,15.0,
Laurentis,1.0,2.0,
Laurentis Energy Partners,,7.0,
Leadcold,,4.0,
Leadcold Reactors,1.0,,
Legal & General,,1.0,
Lifeline Ventures,,1.0,
Lightbridge,,8.0,3.0
Lightbridge Corporation,1.0,9.0,
Limac Company,,1.0,
Lloyd Resister,,1.0,
Los Alamos,,1.0,
Los Alamos National Labs,,1.0,
Lotte Chemical Corp,,1.0,
M Vestt,,1.0,1.0
MHI,,1.0,
MIT,,2.0,1.0
Magnox,,1.0,
Magnox / Nuclear Restoration Services,,1.0,
Magnox Ltd,,2.0,
Maire Tecnimont,1.0,,
Marine Engineering Bureau Malakhit,,1.0,
Max Planck Institute for Plasma Physics (IPP),,1.0,
Meralco,,2.0,
Metatomic,,1.0,
Microsoft,,4.0,1.0
Microsoft Canada,,1.0,
Mineral Products Association,,1.0,
Mitsubishi,,2.0,
Mitsubishi Electric,,5.0,
Mitsubishi FBR Systems (MFBR),,1.0,
Mo Industripark,,2.0,
Moltex,2.0,22.0,4.0
MonAtom,,1.0,
Morson,,2.0,
Mostostal Kielce,,1.0,
Mostostal Krakow,,1.0,
Mott MacDonald,2.0,7.0,
Mubadala,,1.0,
Murphy Group,,1.0,
NA-SA,,3.0,
NAC,,2.0,
NAC International,,4.0,
NAC Kazatomprom JSC,,1.0,
NANO,,1.0,
NAP,,2.0,
NASA,,1.0,
NB Power,1.0,9.0,1.0
NDA,,2.0,
NEI,,1.0,
NEMO,,1.0,
NFT,,1.0,
NFT Inc,,1.0,
NGSI,,1.0,
NIKIET JSC,,1.0,
NNL,,1.0,
NPCIL,,2.0,
NPM,,1.0,
NPPD,,1.0,
NRC,,5.0,
NRCan,,1.0,
NRG,,5.0,
NRGIPALLAS,,2.0,
NSERC,,1.0,
NTS,,2.0,
NUKEM,,4.0,
Naarea,2.0,8.0,1.0
Nadia Calviño,1.0,,
NatWest,,1.0,
National Grid,,2.0,
National Ignition Facility,,1.0,
National Nuclear Laboratory,8.0,4.0,
National Radiation Protection Institute,,1.0,
National Research and Innovation Agency of Indonesia,,1.0,
National Technical Systems,1.0,,
Natrium,,2.0,
Natural Resources Wales (NRW),1.0,,
Naval Group,2.0,5.0,
Nawah Energy Company,,1.0,
Nebraska Public Power District (NPPD),,2.0,
Necsa,,2.0,
Nest,,1.0,
Netcity,,1.0,
New Brunswick Power,1.0,3.0,
New Monark,,1.0,
NextChem Tech,2.0,1.0,
Nippon Export and Investment Insurance,,1.0,
Nissan,,1.0,
Norilsk Nickel,,2.0,
Norrsken Launcher,,1.0,
Norsk Kjernekraft,3.0,23.0,1.0
Northern Powerhouse Partnership,,1.0,
Norwegian Water & Energy Directorate (NVE),,1.0,
Nova Power & Gas,1.0,11.0,
NovaWind,,1.0,
NuCycle,,1.0,
NuScale,35.0,226.0,35.0
NuScale Power Corporation,1.0,8.0,2.0
NuScale Power Module,,1.0,
Nuclear Alternative Project (NAP),,1.0,
Nuclear Decommissioning Authority (NDA),,5.0,
Nuclear Energy Institute,,4.0,1.0
Nuclear Industry Association,2.0,7.0,2.0
Nuclear Power Corporation of India Ltd,,4.0,
Nuclear Power Ghana,,5.0,
Nuclear Power Institute of China,,2.0,
Nuclear Power Research & Design Institute of China,,2.0,
Nuclear Regulatory Authority of Slovakia,1.0,,
Nuclear Technology Germany (KernD),,,1.0
Nuclear Transport Solutions,,2.0,
Nuclear Waste Services,,1.0,
Nuclearelectrica,3.0,28.0,1.0
Nucleation Capital,,1.0,
Nucleoeléctrica Argentina SA (NA-SA),,1.0,
Nucor,,1.0,
Nuward,2.0,12.0,
OCNI,,1.0,
OECD-Nuclear Energy Agency,,2.0,
OKBM Africantov,,2.0,
OKG,1.0,1.0,
OKLO (VOYGR packs),,1.0,
ONR,,4.0,
ORNL,,2.0,
OSGE,1.0,9.0,
Oakridge,,1.0,
Office for Nuclear Regulation,2.0,2.0,
Oklo,1.0,6.0,1.0
Omaha Public Power District,,1.0,
Omexom,,1.0,
Omexom and Taylor Woodrow JV (OTW),,1.0,
Onet Technologies,1.0,3.0,
Onomichi Dockyard,,1.0,
Ontario Power Generation,20.0,70.0,5.0
Ontario Tech (OTU),,1.0,
Orano,2.0,23.0,
Organisation of Canadian Nuclear Industries (OCNI),,1.0,
Orgenergostroy,,1.0,
Orlen,,4.0,
Orlen Sythnos Green Energy,11.0,27.0,2.0
Outokumpu,2.0,,2.0
PA Consulting,,1.0,
PCL Nuclear Management Inc,,2.0,
PEJ,,1.0,1.0
PGE,,4.0,1.0
PGE EJ1,,,1.0
PGE PAK Energia Nuclear,,1.0,
PGE Pak Energia Jadrowa,,2.0,
PK Valve,,1.0,
PKN Orlen,9.0,9.0,1.0
PLN,,2.0,
PSC,,1.0,
PT Batan Teknologi,,1.0,
PT PLN (Persero),,1.0,
PT Pertamina Power Indonesia,,1.0,
PTT,,2.0,
PTT Group,,1.0,
PWRs,,1.0,
PacifiCorp,,4.0,
Pacific Northwest Division,,1.0,
Pacific Northwest National Laboratory (PNNL),,2.0,
Pajarito Scientific Corporation (PSC),,1.0,
Pallas,,1.0,
Paragon,,2.0,
Paragon Energy Solutions,1.0,4.0,1.0
Peregrine Turbine Technologies (PTT),,2.0,
Perez Companc Group,,1.0,
Pertamina New & Renewable Energy,,1.0,
Philippines largest power utility,,1.0,
Phoenix Group,,1.0,
Pinsent Masons,,1.0,
Plug Power Siemens,,1.0,
Poland's OSGE,1.0,,
Polimex Mostostal Siedlce,,1.0,
Polskie Elektrownie Jadrowe (PEJ),3.0,6.0,
Pompes Rütschi SAS,2.0,,
Portsmouth Water,,1.0,
Posco E&C,,2.0,
Posiva Oy,,1.0,
Potomac Communications Group,,1.0,
PreussenElektra,,1.0,
PricewaterhouseCoopers LLC (PwC),,1.0,
Prime Infra,,1.0,
Prime Infrastructure Capital,,1.0,
Princeton University,,1.0,
Prodigy,,4.0,
Prodigy Clean Energy,,8.0,
Project Phoenix,1.0,,
Puget Sound Energy,,,1.0
Pukyong National University,,1.0,
Pupuk Kaltim,,1.0,
PwC,,2.0,
Qatar's wealth fund,1.0,,
RAOS JSC,,1.0,
RATEN-ICN,,2.0,
RED,,1.0,
RINA,3.0,1.0,2.0
RITM-200,,1.0,
RR,,5.0,
Radiant,,2.0,
Radiant Industries,,3.0,
Raten,,3.0,
Regnum Technology Group,,3.0,
Reinvent Energy,,1.0,
Respect Energy,,3.0,
Reuter-Stokes,,3.0,2.0
RhinoCorps,,1.0,
RoPower,3.0,5.0,
RoPower Nuclear,,8.0,
Rock Creek Innovations,,3.0,
Rockwell,,1.0,
Rolls,,1.0,
Rolls-Royce SMR,36.0,133.0,23.0
Rolls-Royce SMR Limited,1.0,2.0,1.0
Romanian Atomic Forum,,1.0,
Rosatom,4.0,85.0,5.0
Rosatom (via RITM-200),,1.0,
Rosatom Energy Projects,,3.0,
Rosenergoatom,,5.0,
Rostekhnadzor,,1.0,
Rothschild & Co,,1.0,
Rusatom Overseas,,2.0,
Russia,1.0,4.0,
Russia's TSS Group,,1.0,
Russian nuclear industry,1.0,,
Rütschi Fluid AG,2.0,,
Rütschi Group,1.0,,
S&P Platts,,1.0,
SCK CEN,,5.0,
SE,,1.0,
SGE,1.0,2.0,
SGSC,,1.0,
SIMSA,,2.0,
SK,,4.0,
SK Inc,,3.0,
SK Innovation,,4.0,
SMART,,2.0,
SMART Power Company Ltd,,1.0,
SN Nuclearelectrica SA (SNN),,1.0,
SNC,,1.0,
SNC-Lavalin,1.0,16.0,
SNN,,5.0,
SRS,,1.0,
SRS Servizi Ricerche e Sviluppo,2.0,,
SSM,,1.0,
SUAS Group,,2.0,
Saab,,3.0,
Saai,,1.0,
Samruk-Kazyna,,1.0,
Samsung,,2.0,
Samsung C&T,,3.0,
Samsung C&T Corporation,,5.0,1.0
Samsung Heavy Industries,,6.0,
Sandia National Laboratories,,1.0,
Sargent & Lundy,,5.0,
SaskPower,5.0,13.0,2.0
Saskatchewan Research Council,,2.0,
Schneider Electric,,2.0,
Schweitzer Engineering Laboratories,,1.0,
Seaborg,1.0,11.0,
Seaborg Technologies,,5.0,
Segra Capital Management,,1.0,
Setec TPI,,1.0,
Seven companies (unnamed),,1.0,
Shanghai Boiler Works Limited,,3.0,
Sheffield Forgemasters,2.0,8.0,
Sheffield Forgemasters International (SFI),,1.0,
Shell,,1.0,
Shell Global Solutions,,1.0,
Shepherd Power,,1.0,
Shikoku,,1.0,
Siemens,,2.0,
Silex,,4.0,
Silex Systems,,3.0,
Silex Systems Limited,,1.0,
Six companies,,1.0,
Sizewell C,,1.0,1.0
Skepast & Puhkim,,1.0,
Slovak Nuclear & Decommissioning Company (JAVYS),,1.0,
Slovenske Elektrarne,3.0,8.0,
Societatea Națională Nuclearelectrica,,5.0,
Sokolovska Uhelna,1.0,2.0,
Somet,,1.0,
South Korea,,3.0,
South Korea's state-owned nuclear developer,,1.0,
Southern California Edison,,1.0,
Southern Company,,9.0,
Spring Valley Acquisition Corp,,,2.0
Springfields Fuels Limited,,2.0,
Standard Power,,4.0,1.0
Starfire Energy,,1.0,
Statnett,,1.0,
Steady Energy,3.0,10.0,3.0
Stellarex,,4.0,
Stellaria,,6.0,
Strana Rosatom,,1.0,
Strategic Innovation Fund,,1.0,
Stratek Global,,1.0,
Structural Integrity Associates,,1.0,
Studsvik,1.0,1.0,
Sumitomo Corporation,,1.0,
Sunderland City Council,,1.0,
Svenska Kraftnat,,1.0,
Sydkraft,,1.0,
Synthos,2.0,5.0,
Synthos Green,,1.0,
Synthos Group,,,1.0
TC Energy,,1.0,
TEPCO,,1.0,
TRISO,,1.0,
TRIUMF Innovations,,1.0,
TSP Engineering,,,1.0
TVA,,7.0,
TVEL,,4.0,
TVO,,3.0,
TVO Nuclear Services,4.0,2.0,
TVONS,,1.0,
TWI,4.0,,
Tata Consulting Engineers Limited,,1.0,
Taylor Woodrow,,1.0,
TechnicAtome,2.0,5.0,1.0
Technical University of Bratislava,1.0,,
Technip Energies,,2.0,
Tecnatom USA,,1.0,
Tecnimont,2.0,2.0,
Teledyne Brown Engineering,,1.0,
Tenex,,,1.0
Tennessee Authority Valley,2.0,8.0,1.0
Teollisuuden Voima Oyj (TVO),3.0,4.0,
Terra Praxis,,1.0,
TerraPower,5.0,54.0,4.0
TerraPraxis,,1.0,
Terrafame,,1.0,
Terrestrial Energy,3.0,17.0,1.0
Texas A&M,,1.0,
Texas A&M University,,1.0,
Therizon,,11.0,
Thermal Engineering International,,1.0,
Thomas Thor,,2.0,
ThorCon,,5.0,1.0
Topsoe,,6.0,
Toshiba,,1.0,1.0
Tosto Group,3.0,,
Tractebel,3.0,17.0,1.0
Tractebel Engineering,,1.0,
TransAlta,,1.0,
TransAlta Corporation,,2.0,
Triso-X,1.0,4.0,
Tsinghua University,,,1.0
