claim,company,chunk,label
The International Energy Agency has said the LCOE for advanced nuclear is actually higher than $63.10/MWh,,"GEH is developing the 300-MW BWRX-300 SMR. GEH, a joint venture between US-based General Electric and Japan’s Hitachi, has said the construction of a first BWRX-300 reactor should begin at the Darlington nuclear site in Canada in 2024 or 2025 and take three to four years. The company expects Canadian utility Ontario Power Generation to get an operating licence in 2028. US federal utility and nuclear operator Tennessee Valley Authority recently signed an agreement with GEH to deploy small modular reactors at Clinch River near Oak Ridge, Tennessee, and will spend the next year preparing a possible construction permit to build two of the 300-MW plants. In 2019 GEH and Synthos Green Energy, a member of Poland-based chemicals company Synthos Group, announced an agreement to collaborate on potential deployment applications for the BWRX-300 SMR in Poland. The International Energy Agency has said the LCOE for advanced nuclear is $63.10/MWh. The lowest LCOE is $30.43/MWh for standalone solar and the highest is $120.51/MWh for offshore wind. Onshore wind is $36.92/MWh. LCOE captures both capital and operating costs that need to be covered. It is essentially the long-term price at which the electricity produced by a power plant will have to be sold at for the investor to cover all their costs. SMRs are a new technology, and “if you look at the cost of the first one that rolls off, it’s going to be fairly high,” US Nuclear Industry Council president and chief executive officer Bud Albright said at the USEA event. But, he added, “we’re counting on volume, and volume is predicted. And so that should bring costs down.”",CONTRADICT
"Nuclear's market share has been increasing steadily since 1988 and now accounts for 30% of the world's electricity mix, making it a leading contributor to climate neutrality objectives.",,"European Commission president calls for discipline from sector and outlines key tasks ahead The future of the nuclear power industry is “hardly assured” and key tasks lie ahead if the sector is to make a substantial contribution to climate neutrality objectives, including the main one of securing new investments, European Commission president Ursula von der Leyen has said. In a speech to the inaugural Nuclear Energy Summit in Brussels in which she backed nuclear and outlined the role in can play in the energy transition, Von der Leyen said the reality today in most markets is “a slow but steady decline in nuclear’s market share”.  She said nuclear accounts for 9% of the world’s electricity mix, down from 18% in 1988.  In the EU, nuclear power is still the largest single source of electricity generation with a 22% share, she said, but that share is substantially below the levels reached in the 1990s, when nuclear power generated one-third of Europe's electricity.  “Key tasks lie ahead if nuclear is to make a substantial contribution to climate neutrality objectives,” Von der Leyen told the summit, co-hosted by the International Atomic Energy Agency (IAEA) and Belgian prime minister Alexander de Croo,.  “The main one is to secure new investments. Support is needed from governments to ensure that financing is available and that nuclear’s contribution to electricity security is properly valued and remunerated.” Her comments came as world leaders at the summit adopted a declaration that promised efforts to unlock the full potential of nuclear energy including access to competitive financing for lifetime extensions, new nuclear plants and the early deployment of advanced reactors, including small modular reactors (SMRs) worldwide. IAEA director-general Rafael Grossi told NucNet at the 21 March summit that there is “a lot of work to do” with markets on financing.",CONTRADICT
"Urenco has already expanded its uranium enrichment capacity at all of its sites worldwide, not just in New Mexico.",null,"The 2022 annual report released by ESA last month found that 62% of enrichment services to EU utilities came from two EU-based companies, France’s Orano and Urenco, which is jointly owned by the British and Dutch Governments and two German utilities RWE and E.ON, and operates facilities in the Netherlands, Germany, the US, and the UK. The remaining services were provided by non-EU sources. Deliveries of separative work from Russia to EU utilities accounted for 30% of total deliveries. In the US, Biden administration officials have repeatedly expressed concerns about the country’s reliance on Russia-procured enrichment services which is claimed to have posed a “critical threat” to national security and % climate goals. At the Cop28 climate conference in Dubai this week, leaders from the US, Canada, France, Japan and the UK – a group of G7 nations informally known as the Sapporo 5 – announced plans to mobilise $4.2bn (€3.9bn) in government-led investments to develop a secure, reliable global nuclear energy supply chain. The investments will increase uranium enrichment and conversion capacity over the next three years and establish a resilient global uranium supply market free from Russian influence. The announcement follows this week’s pledge by 22 countries to triple nuclear energy capacity globally by 2050. Urenco has approved an investment to expand uranium enrichment capacity at its UUSA site site in New Mexico. Courtesy Urenco.",CONTRADICT
Rolls-Royce SMR will not meet its low-carbon electricity generation targets and can only power a million homes for 50 years.,,"Rolls-Royce SMR, supported by grant funding from the go vernment body UK Research and Innovation, has a team of more than 600 UK-based staff already working on the project to develop a unique factory-built SMR, with each unit capable of generating enough low-carbon electricity to power a million homes for more than 60 years. Rolls-Royce SMR was one of six companies recently chosen by the UK government to advance to the next phase of a competition to design and build SMRs. The other five are: EDF, GE-Hitachi Nuclear Energy, Holtec Britain, NuScale Power and Westinghouse Electric Company UK, which is developing its own SMR, the AP300. The government selected the designs alongside Great British Nuclear – the government-backed body set up to push forward nuclear projects across the country. The next stage will see successful companies able to bid for government contracts. The government said it hoped to announce in spring 2024 which of the six companies the government will support, with contracts awarded by summer 2024. In April, Rolls-Royce SMR progressed to Step 2 of the UK nuclear regulator’s GDA with its SMR technology. Step 2 is the fundamental assessment stage of the GDA where the detailed technical assessment by the regulators – the Office for Nuclear Regulation, Environment Agency and Natural Resources Wales – begins in earnest. Step 1 of the GDA began in April 2022 and involved agreeing the scope of the GDA. The London-based nuclear group the Nuclear Industry Association welcomed the contract. NIA chief executive Tom Greatrex said: “This partnership is vital to reigniting Britain’s nuclear capabilities on a domestic and global stage.  “We must also ensure we are world leaders in the design and manufacture of nuclear fuel so we can establish a sovereign supply chain as the West looks to break free from reliance on Russian nuclear fuel.”",CONTRADICT
The alliance will focus solely on conventional nuclear technologies and disregard new approaches like Small Modular Reactors (SMRs).,,"According to Simson, these issues are included in the scope of technical working groups that will be proposed by the alliance. The two-day inaugural event is being attended by all the alliance members and representatives of EU countries, industry and the commission. After over 300 applications by firms to be part of the alliance, the meeting was expected to unveil who will be allowed in the alliance, the sectors represented and the geographical distribution of the new members.  Simson said the commission has already received more than 300 applications to join the alliance from “very diverse types of entities”. She promised to foster collaboration between the alliance and “any other actors committed to advancing SMR development in Europe”. This includes those from our like-minded international allies such as UK, US and South Korea, she said. The EU was planning to release details on the direction of the alliance and how technical work will proceed. “Accelerating SMR development in the EU demands a robust and efficient nuclear supply chain,” the commission said in a statement.  “Collaboration among stakeholders, including project promoters, financial institutions, regulators, researchers, training centres, civil society organisations, and policymakers is essential. “SMRs can complement conventional nuclear technologies and contribute, next to renewables, to European climate mitigation and sustainability efforts by co-generating low-carbon electricity and heat reliably, consistently, and securely,” the commission said. Kadri Simson, European commissioner for energy, spoke at the inaugural meeting of Europe’s new Industrial Alliance on Small Modular Reactors in Brussels",CONTRADICT
Last Energy's SMR plant will take more than 24 months to deliver after signing,null,"Pawel Majewski, chief executive of Enea, said the company will be able to use the SMR technology to build its own production capacity and market solutions for the industry and for Poland.  “Commercialisation of SMR solutions will have a positive impact on energy security, the environment, and the competitiveness of the Polish economy,” Mr Majewski said. According to the statement, Enea and Last Energy agreed on the possibility of setting up a jointly owned company in Poland for the purpose of the project. The signing event last week was attended by Polish minister of state assets Jacek Sasin, who said: “This is a historic moment. We show that in practice we are building Poland's long-term energy security”.  “We want nuclear energy – the traditional, large and state-built energy, as well as the micro-dimension – to be our future,” Mr Sasin said. Poland wants to build from 6,000 to 9,000 MW of installed nuclear capacity based on proven, large-scale, pressurised water reactor (PWR) technology, with commercial operation of a first unit in a proposed set of six is planned for 2033. Large players in the energy and heavy industries like Orlen, Synthos, KGHM, ZEPAK, have separately been showing interest in the development and deployment of SMR units for industrial use in addition to conventional nuclear. Last Energy said it provides the full cycle of nuclear project development for customers including design, construction, financing, service and maintenance of installations, fuel supply and waste collection and decommissioning of the power plant at the end of its operation.  The company said its SMR plant leverages a proven PWR and fully modular plant design, and its development model aims to deliver a power plant within 24 months of signing.",CONTRADICT
"The diversity of uranium suppliers does not provide enough alternatives in cases where one supplier is unavailable, even if the market is rather limited.",,"“Even if most of the uranium needed for the EU’s nuclear fleet is imported, unlike fossil fuels, the diversity of the suppliers provides enough alternatives in cases where one supplier is unavailable, even if the market is rather limited.” According to nucleareurope, maintaining the current nuclear fleet will help achieve 2030 decarbonistion targets and guarantee Europe’s security of supply. The potential development of commercial nuclear power reactors to produce green hydrogen is another area nucleareurope sees as critical. Policies Needed For Green Hydrogen Green hydrogen is in the news because initiatives have begun to transmit electricity produced by a nuclear plant – or another low-carbon energy facility such as solar – to electrolysers, which would produce green hydrogen for industry, transport and home heating, at the sites where the hydrogen is needed.  The technology is reasonably mature, but remains expensive. Proponents say it can be commercialised for large-scale consumer use – possibly within years – to help bring about the transition to a zero-carbon hydrogen-based economy without the need for fossil fuels. nucleareurope says the low-carbon production of hydrogen from nuclear power plants could help Europe reach its climate goals, but the EU needs to put in place the right policy incentives to expand development of the emerging technology. “For the production of green hydrogen nuclear will be needed because electrolysers [needed as part of the production process] have to run 24/7, not only when renewable generation is available,” Mr Desbazeille said. “Electrolysers are not flexibly operated facilities They depend on baseload power.  “Where is this stable decarbonised power going to come from, especially when coupled with the retirement of fossil-fired plants? For me, with hydrogen, the nuclear case is even stronger.” Another area of focus for nucleareurope will be the development of new generation reactor technology, including SMRs.",CONTRADICT
Two South Korean-supplied APR1400 reactors are expected to be online as early as 2035.,PGE Pak Energia Jadrowa,"Opportunities likely exist for first-mover projects. The study results “suggest economic potential for communities and firms that pursue C2N transitions”. There is “a potential advantage for interested coal communities to be first movers in what could be a series of many C2N transitions across the United States”. Early adopter communities can “get ahead” of the transition by working with utility management to update integrated resource plans with a focus on C2N transitions. “This may be especially important for a utility ownership that does not currently have nuclear as part of their energy generation portfolio. The utility stands to save on capital costs from repurposed infrastructure, and the community stands to mitigate negative outcomes from shutdown of the local power plant.” Extensions of this analysis. A limitation of the study is it does not evaluate impacts to the coal mining sector and other upstream supply-chain issues. Recogniding that constructing NPPs creates emissions is also not reflected in this study. “This leaves open the opportunity in a broader, supply-chain analysis to evaluate this impact.” The study also does not consider transitioning other energy assets to clean energy, such as retired steel facilities or petro-chemical plants. “A logical extension is to expand the analysis to consider broader supply-chain implications.”",NEI
Macron wants an unprecedented research effort into small modular reactors and innovative reactors,,"Jordan had intended to have two 1000 MWe nuclear units in operation by 2025 but has now cancelled such plans. However, it had signed multiple nuclear cooperation agreements. The Committee for Nuclear Strategy, set up in 2007, had planned for nuclear power to provide 30% of electricity by 2030, and to provide for exports. In 2008 JAEC investigated plant technologies including AECL’s Candu-6, the Areva-Mitsubishi Atmea 1 and a KHNP design. In 2009 JAEC contracted Tractabel Engineering for a siting study at Al Amra in Al Mafraq province and signed WorleyParsons for the pre-construction phase of a two-unit plant. In 2013 JAEC decided on two AES-92 units on a build-own-operate basis with Rosatom Overseas. However, in 2018 the project was cancelled on the grounds of cost in favour of small modular reactors, and a new agreement was signed with Rosatom Overseas. A MOU was also signed with Rolls-Royce for an SMR feasibility study, and another with X-energy on its 76MWe Xe-100 HTGR. Talks were held with CNNC in 2018 on the possible construction of a 220MWe HTR-PM reactor for operation from 2025, and in 2019 an agreement was signed with US NuScale. Jordan has an operating research reactor. In 2009 JAEC selected a consortium headed by the Korean Atomic Energy Research Institute with Daewoo to build the 5 MWt Jordan Research & Training Reactor at the Jordan University for Science & Technology at Al Ramtha. The reactor, similar to South Korea's 30 MW Hanaro reactor, uses 19% enriched fuel and has the potential to be upgraded to 10 MWt. First criticality was in April 2016 and the reactor was commissioned in December.",NEI
The UK government is planning to build two new EPR units at Sizewell C.,EDF,"The Imperial College Reactor Centre (ICRC), part of Imperial College London, has become the first reactor site to be fully decommissioned in UK nuclear history under modern regulatory controls. The site was delicensed by the Office for Nuclear Regulation (ONR) following years of work to defuel and then decommission the site in Ascot after the shutdown of the consort research reactor in 2012. ICRC has now been assessed by ONR as posing no danger to the public, and no longer requires ONR regulatory controls. The Imperial centre is only the third UK reactor site in history to be fully decommissioned, and its land has now been returned for re-use. Currently, ONR regulates 35 licensed nuclear sites in the UK. ONR says its inspectors have studied the Silwood Park site’s final Environmental Management Plan in recent months and are content that the concluding decommissioning work, including asbestos surveillance and landscaping, has been completed. As a result, ICRC is no longer subject to regulations under the Environmental Impact Assessment for Decommissioning Regulations (EIADR) 1999. “This is a highly significant achievement and milestone in UK nuclear decommissioning history and testament to all the hard work that has been put in at the Imperial College Reactor Centre to reach this final end state,” said Ian Phillips, ONR’s Head of Safety Regulation for Decommissioning, Fuel & Waste sites. “It represents the conclusion of a 65-year journey for the ICRC which can now be recognised as the country’s first ever fully decommissioned reactor site under modern regulatory controls – a fantastic accomplishment. He added: “Our regulatory oversight ensured that all necessary conditions involved in the defuelling, decommissioning, demolition, and delicensing process were realised to meet the high standards we demand in order to maintain the ongoing safety of workers and the public.”",NEI
The GDA process increases regulatory effectiveness and efficiency by allowing issues to be resolved at the design stage.,ONR,"‘We need a broad portfolio of energy technologies’ Danish nuclear company Seaborg has signed a letter of intent with Bergen, Norway-based energy company Norsk Kjernekraft to investigate the possibility of establishing Seaborg's Generation IV compact molten salt reactor (CMSR) technology in Norway.  Seaborg said it has made significant progress in the development and commercialisation of its technology, including agreements on the construction of power plants and fuel development in Asia.  Seaborg said Norsk Kjernekraft, which aims to build, own and operate small modular nuclear power plants in Norway, will participate in this development, with the goal of introducing the technology in Norway. Initially, Norsk Kjernekraft will establish small modular reactors based on conventional technology, “in order to relieve the increasingly demanding energy situation as quickly as possible”, Seaborg said.  In the longer term, Norsk Kjernekraft is looking to Seaborg’s advanced technology, particularly with respect to industries that are difficult to decarbonise.  Norsk Kjernekraft chief executive officer and chairman Jonny Hesthammer said Norway needs a broad portfolio of energy technologies. “The technology of our Danish partners will play a significant role here, and there are numerous indications that Seaborg’s technology will come sooner than many had imagined,” he said. In a CMSR reactor, the fuel is mixed with molten fluoride salt, which also acts as a coolant. According to Seaborg, this provides significant safety benefits. The company intends to mount its innovative reactor on what it describes as “power barges”. Seaborg said it is aiming to produce a commercial prototype by 2028 and serial production in the 2030s. The first power barges will have two reactors installed delivering 200 MW. The modular design allows for up to 800 MW over a 24-year lifetime, the company has said.",NEI
OSGE is planning to build nuclear plants using BWRX-300 small modular reactor technology.,OSGE,"In parallel, work continues in TVEL on the creation of second-generation fuel elements for the BREST-OD-300 with a higher burnup level, which should be used when the production of MNUP fuel moves from fabrication to the refabrication stage: that is, processed fuel will be used in the manufacture of fresh fuel at ODEK. The Beloyarsk nuclear plant started operation in 1964. Units 1 and 2 – AMB-100 and AMB-200 thermal neutron reactors – have been closed for decommissioning. Beloyarsk 3, with a BN-600 fast neutron reactor began operation in 1980 and Beloyarsk 4 with a BN-800 fast reactor started up in 2015. Image: Beloyarsk NPP (photo courtesy of Rosenergoatom)",NEI
"Nuclear projects must use accident-tolerant fuel, which has been certified and approved by the national regulator as of 2025",,"In a press conference after the Security Council meeting, Grossi said: “We have to undertake this work at these two facilities mentioned as places where allegedly work to divert nuclear material for the fabrication of a radiological device is taking place.” He also said that in addition to ZNPP, IAEA planned to deploy more inspectors at Ukraine’s other NPP sites in Rivne, Khmelnitsky, South Ukraine and Chernobyl. In reply to a question suggesting that nuclear material could be found at many other sites such as hospitals, he replied: “We cannot start running hysterically to any place that might have a cobalt-60 source. In this case there has been a very clear indication from a very high official of the Russian Federation about clandestine work to divert nuclear material.” He noted that one of the sites concerned had already been visited by the IAEA in September – and R&D facility near Kiev – with good results. “We are going to revisit it in this case to undertake a different kind of work because are inspections generally look for nuclear materials – enriched uranium, plutonium, thorium. In this case there is mention of certain isotopes – caesium and strontium – so we will perform a different kind of work to determine whether the fuel there has been reprocesses in some way to extract these. It’s going to be very detailed work.” [The Institute has an operation 10~MWt WWR-M research reactor – the IAEA Research Reactor Database does not specify what fuel it uses].",NEI
